01:47:07 [INFO ] ui.editor.DslEditor                      : 3033 - Antlr editor starting
01:47:07 [INFO ] ui.editor.DslEditor                      : 3034 - Log4j2 using: Default [Rolling, Stdout]
01:47:21 [INFO ] ui.editor.DslEditor                      : 3033 - Antlr editor starting
01:47:21 [INFO ] ui.editor.DslEditor                      : 3034 - Log4j2 using: Null []
01:47:42 [DEBUG] graph.view.tokens.TokensView             : 187  - Loaded record
01:47:50 [INFO ] graph.parse.TargetUnit                   : 230  - Loading gramaticas.SnakecsvParser
01:47:50 [INFO ] graph.parse.TargetUnit                   : 230  - Loading gramaticas.SnakecsvLexer
01:47:50 [INFO ] graph.parse.TargetUnit                   : 262  - Lexer constructed ...
01:47:50 [INFO ] graph.parse.TargetUnit                   : 291  - Token stream generated ...
01:47:50 [INFO ] graph.parse.TargetUnit                   : 308  - Parser constructed ...
01:47:50 [INFO ] graph.parse.TargetUnit                   : 345  - Main rule selected (prog) ...
01:47:50 [INFO ] graph.parse.TargetUnit                   : 348  - Building tree ...
01:47:50 [INFO ] graph.parse.TargetUnit                   : 350  - Tree generated.
01:47:50 [INFO ] graph.parse.TargetUnit                   : 356  - Generating graph model...
